Date,Value
12/19/90,99.98
12/20/90,104.39
12/21/90,109.13
12/24/90,114.55
12/25/90,120.25
12/26/90,125.27
12/27/90,125.28
12/28/90,126.45
12/31/90,127.61
1/2/91,128.84
1/3/91,130.14
1/4/91,131.44
1/7/91,132.06
1/8/91,132.68
1/9/91,133.34
1/10/91,133.97
1/11/91,134.60
1/14/91,134.67
1/15/91,134.74
1/16/91,134.24
1/17/91,134.25
1/18/91,134.24
1/21/91,134.24
1/22/91,133.72
1/23/91,133.17
1/24/91,132.61
1/25/91,132.05
1/28/91,131.46
1/29/91,130.95
1/30/91,130.44
1/31/91,129.97
2/1/91,129.51
2/4/91,129.05
2/5/91,128.58
2/6/91,129.14
2/7/91,129.79
2/8/91,130.38
2/11/91,130.97
2/12/91,131.35
2/13/91,131.92
2/14/91,132.53
2/19/91,133.13
2/20/91,133.67
2/21/91,134.28
2/22/91,134.87
2/25/91,134.40
2/26/91,133.93
2/27/91,133.47
2/28/91,133.01
3/1/91,132.53
3/4/91,131.99
3/5/91,131.46
3/6/91,130.94
3/7/91,130.41
3/8/91,129.89
3/11/91,129.31
3/12/91,128.77
3/13/91,126.15
3/14/91,125.63
3/15/91,125.17
3/18/91,124.71
3/19/91,124.22
3/20/91,123.66
3/21/91,123.12
3/22/91,122.62
3/25/91,122.12
3/26/91,121.62
3/27/91,121.12
3/28/91,120.61
3/29/91,120.19
4/1/91,120.73
4/2/91,121.21
4/3/91,121.71
4/4/91,121.72
4/5/91,121.54
4/8/91,121.09
4/9/91,120.62
4/10/91,120.16
4/11/91,119.64
4/12/91,119.21
4/15/91,118.77
4/16/91,118.34
4/17/91,117.90
4/18/91,117.45
4/19/91,117.08
4/22/91,116.63
4/23/91,116.19
4/24/91,115.79
4/25/91,115.36
4/26/91,115.56
4/29/91,114.75
4/30/91,113.94
5/2/91,113.16
5/3/91,112.41
5/6/91,111.61
5/7/91,110.82
5/8/91,110.03
5/9/91,109.29
5/10/91,108.53
5/13/91,107.84
5/14/91,107.19
5/15/91,106.57
5/16/91,105.77
5/17/91,106.75
5/20/91,107.82
5/21/91,108.81
5/22/91,108.25
5/23/91,109.08
5/24/91,110.08
5/27/91,110.66
5/28/91,111.68
5/29/91,112.75
5/30/91,113.82
5/31/91,114.83
6/3/91,115.97
6/4/91,117.12
6/5/91,118.17
6/6/91,119.35
6/7/91,120.47
6/10/91,121.67
6/11/91,122.89
6/12/91,124.11
6/13/91,125.34
6/14/91,124.53
6/17/91,125.77
6/18/91,127.03
6/19/91,128.29
6/20/91,129.57
6/21/91,130.86
6/24/91,132.17
6/25/91,133.49
6/26/91,134.83
6/27/91,136.19
6/28/91,137.56
7/1/91,136.85
7/2/91,135.96
7/3/91,135.27
7/4/91,136.63
7/5/91,135.96
7/8/91,135.28
7/9/91,134.64
7/10/91,133.99
7/11/91,133.38
7/12/91,132.80
7/15/91,133.14
7/16/91,134.47
7/17/91,135.81
7/18/91,137.17
7/19/91,136.70
7/22/91,138.07
7/23/91,139.39
7/24/91,140.68
7/25/91,140.19
7/26/91,140.66
7/29/91,141.52
7/30/91,142.39
7/31/91,143.80
8/1/91,145.24
8/2/91,146.68
8/5/91,148.15
8/6/91,149.62
8/7/91,151.12
8/8/91,152.61
8/9/91,154.10
8/12/91,155.54
8/13/91,157.07
8/14/91,158.63
8/15/91,160.21
8/16/91,161.60
8/19/91,163.21
8/20/91,164.84
8/21/91,166.49
8/22/91,168.16
8/23/91,169.81
8/26/91,171.51
8/27/91,173.19
8/28/91,174.92
8/29/91,176.66
8/30/91,178.43
9/2/91,180.22
9/3/91,181.97
9/4/91,183.69
9/5/91,185.51
9/6/91,187.36
9/9/91,189.24
9/10/91,188.33
9/11/91,187.22
9/12/91,186.22
9/13/91,187.79
9/16/91,189.66
9/17/91,188.65
9/18/91,187.63
9/19/91,186.88
9/20/91,185.92
9/23/91,185.00
9/24/91,184.08
9/25/91,183.19
9/26/91,182.33
9/27/91,181.82
9/30/91,180.92
10/3/91,182.48
10/4/91,184.29
10/7/91,186.00
10/8/91,187.49
10/9/91,189.12
10/10/91,191.01
10/11/91,192.85
10/14/91,194.67
10/15/91,196.61
10/16/91,198.57
10/17/91,200.51
10/18/91,202.51
10/21/91,204.53
10/22/91,206.53
10/23/91,208.25
10/24/91,210.07
10/25/91,211.86
10/28/91,213.98
10/29/91,215.78
10/30/91,216.43
10/31/91,218.60
11/1/91,220.72
11/4/91,222.77
11/5/91,224.65
11/6/91,226.88
11/7/91,228.93
11/8/91,231.22
11/11/91,233.55
11/12/91,235.80
11/13/91,236.67
11/14/91,237.45
11/15/91,238.25
11/18/91,240.62
11/19/91,242.24
11/20/91,244.50
11/21/91,246.31
11/22/91,248.53
11/25/91,250.85
11/26/91,252.97
11/27/91,255.45
11/28/91,257.35
11/29/91,259.60
12/2/91,262.19
12/3/91,264.81
12/4/91,265.77
12/5/91,266.66
12/6/91,269.35
12/9/91,270.27
12/10/91,272.91
12/11/91,273.71
12/12/91,274.41
12/13/91,277.00
12/16/91,277.85
12/17/91,278.68
12/18/91,279.51
12/19/91,280.17
12/20/91,282.83
12/23/91,285.65
12/24/91,286.22
12/25/91,287.15
12/26/91,288.03
12/27/91,290.85
12/30/91,291.71
12/31/91,292.75
1/2/92,293.75
1/3/92,296.52
1/6/92,297.68
1/7/92,298.77
1/8/92,299.66
1/9/92,300.62
1/10/92,301.83
1/13/92,303.06
1/14/92,305.74
1/15/92,306.63
1/16/92,306.85
1/17/92,307.38
1/20/92,307.39
1/21/92,307.87
1/22/92,307.95
1/23/92,308.53
1/24/92,309.05
1/27/92,311.61
1/28/92,311.84
1/29/92,312.42
1/30/92,312.73
1/31/92,313.24
2/3/92,314.18
2/7/92,314.72
2/10/92,315.56
2/11/92,316.43
2/12/92,316.44
2/13/92,317.04
2/14/92,319.68
2/17/92,319.77
2/18/92,337.11
2/19/92,342.41
2/20/92,347.99
2/21/92,359.59
2/24/92,360.50
2/25/92,360.37
2/26/92,360.10
2/27/92,362.45
2/28/92,364.66
3/2/92,365.39
3/3/92,367.00
3/4/92,368.32
3/5/92,369.76
3/6/92,371.76
3/9/92,373.53
3/10/92,375.23
3/11/92,376.14
3/12/92,376.92
3/13/92,376.38
3/16/92,377.05
3/17/92,377.49
3/18/92,377.66
3/19/92,377.31
3/20/92,377.99
3/23/92,378.89
3/24/92,378.69
3/25/92,378.12
